time,logger,level,message,exception
2011-09-22 09:13:38.0267,Raven.Http.HttpServer,Debug,Request #  34: GET     -     3 ms - <default>  - 200 - /docs/?start=0&pageSize=12&noCache=742103514,
2011-09-22 09:13:38.0267,Raven.Http.HttpServer,Debug,Request #  35: GET     -     0 ms - <default>  - 200 - /terms/Raven/DocumentsByEntityName?field=Tag&fromValue=&pageSize=128&noCache=-98062576,
2011-09-22 09:13:38.0917,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Raven/DocumentsByEntityName for: Tag:NewOrderTrackings,
2011-09-22 09:13:38.0917,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'newordertrackings/1' was found,
2011-09-22 09:13:38.0917,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'newordertrackings/1025' was found,
2011-09-22 09:13:38.0917,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'newordertrackings/1026' was found,
2011-09-22 09:13:38.0917,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'newordertrackings/1027' was found,
2011-09-22 09:13:38.0917,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'newordertrackings/1028' was found,
2011-09-22 09:13:38.0917,Raven.Http.HttpServer,Debug,Request #  36: GET     -     2 ms - <default>  - 0 - /indexes/Raven/DocumentsByEntityName?query=Tag%253ANewOrderTrackings&start=0&pageSize=0&aggregation=None,
2011-09-22 09:13:38.0917,Raven.Http.HttpServer,Debug,Request #  37: POST    -     3 ms - <default>  - 200 - /multi_get/,
2011-09-22 09:15:47.0511,Raven.Http.HttpServer,Debug,Request #  38: GET     -     0 ms - <default>  - 200 - /docs/?start=0&pageSize=15&startsWith=newordertrackings/1027/&noCache=-944011313,
2011-09-22 09:16:20.0210,Raven.Database.DocumentDatabase,Debug,Putting a document with key: newordertrackings/1027 and etag 00000000-0000-0100-0000-000000000006,
2011-09-22 09:16:20.0210,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'newordertrackings/1027', update: True, ",
2011-09-22 09:16:20.0210,Raven.Http.HttpServer,Debug,Request #  39: PUT     -     2 ms - <default>  - 201 - /docs/newordertrackings/1027,
2011-09-22 09:16:20.0210,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Indexing 1 documents for index: Raven/DocumentsByEntityName,
2011-09-22 09:16:20.0210,Raven.Database.Indexing.Index.Indexing,Debug,"Index 'Raven/DocumentsByEntityName' resulted in: Document<stored/uncompressed,indexed,tokenized,omitNorms<__document_id:newordertrackings/1027> indexed,omitNorms<Tag:NewOrderTrackings> indexed,omitNorms<LastModified:20110922061620021>>",
2011-09-22 09:16:20.0410,Raven.Database.Indexing.Index.Indexing,Debug,Indexed 1 documents for Raven/DocumentsByEntityName,
2011-09-22 10:07:33.8078,Raven.Http.HttpServer,Debug,Request #  40: GET     -    78 ms - <default>  - 200 - /stats?noCache=-846026572,
